ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཁྲིད | འཁྲིད_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲིད_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲིད_འདས་པ།_ཐ་དད་པ+འཁྲིད_སྐུལ་ཚིག_###+འཁྲིད_འདས་པ།_ཐ་དད་པ
ཁྲིལ | འཁྲིལ_འབྲི་ཚུལ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲུངས | བྱ་ཚིག_###
ཁྲུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲུས | འཁྲུད_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲེམས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲོ | ཁྲོས_མ་འོངས་པ།_ཐ་དད་པ+ཁྲོས_ད་ལྟ་བ།_ཐ་དད་པ+ཁྲོ_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁྲོ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁྲོག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲོབ | འཁྲབ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོབས | འཁྲབ_སྐུལཚིག_འབྲི་ཚུལ
ཁྲོམ | ཁྲོམ_སྐུལ་ཚིག_ཐ་དད་པ+འགྲེམ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོལ | འཁྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+འགྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+འགྲེལ_སྐུལ་ཚིག_ཐ་དད་པ+འཁྲོལ_སྐུལ་ཚིག_###
ཁྲོས | ཁྲོ_འདས་པ།_ཐ་མི་དད་པ+ཁྲོས_འདས་པ།_ཐ་དད་པ+ཁྲོ_སྐུལ་ཚིག_ཐ་མི་དད་པ+ཁྲོས_སྐུལ་ཚིག_ཐ་དད་པ
གང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཅག | གཅོག_མ་འོངས་པ།_ཐ་དད་པ+འཇག_མ་འོངས་པ།_ཐ་དད་པ+གཅོག_མ་འོངས་པ།_###
གཅད | གཅོད_མ་འོངས་པ།_ཐ་མི་དད་པ+གཅོད_མ་འོངས་པ།_ཐ་དད་པ+གཅོད_མ་འོངས་པ།_###
གཅར | གཅར_མ་འོངས་པ།_ཐ་དད་པ+གཅར_མ་འོངས་པ།_###+གཅར_ད་ལྟ་བ།_ཐ་དད་པ+གཅར_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཅར_ད་ལྟ་བ།_###+གཅར_མ་འོངས་པ།_ཐ་མི་དད་པ+གཅར_འདས་པ།_ཐ་དད་པ
གཅི | གཅི_མ་འོངས་པ།_ཐ་དད་པ+གཅིས_ད་ལྟ་བ།_ཐ་དད་པ+གཅི_ད་ལྟ་བ།_ཐ་དད་པ+གཅིས_མ་འོངས་པ།_ཐ་དད་པ
གཅིར | འཆིར_མ་འོངས་པ།_ཐ་དད་པ+འཆིར_མ་འོངས་པ།_###
གཅིལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅིས | གཅི_འདས་པ།_ཐ་དད་པ+གཅིས_འདས་པ།_ཐ་དད་པ+གཅི_སྐུལ་ཚིག_ཐ་དད་པ+གཅིས_སྐུལ་ཚིག_ཐ་དད་པ
གཅུ | གཅུས_མ་འོངས་པ།_ཐ་དད་པ+གཅུ_ད་ལྟ་བ།_ཐ་དད་པ+གཅུས_ད་ལྟ་བ།_ཐ་དད་པ+གཅུ_མ་འོངས་པ།_ཐ་དད་པ
གཅུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཅུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅུན | འཆུན_མ་འོངས་པ།_ཐ་དད་པ+འཇུན_མ་འོངས་པ།_ཐ་དད་པ
གཅུར | འཇུར_མ་འོངས་པ།_###+འཇུར_མ་འོངས་པ།_ཐ་དད་པ
གཅུས | གཅུས_སྐུལ་ཚིག_ཐ་དད་པ+འཆུ_སྐུལ་ཚིག_###+གཅུ_འདས་པ།_ཐ་དད་པ+གཅུས_འདས་པ།_ཐ་དད་པ+གཅུ_སྐུལ་ཚིག_ཐ་དད་པ
གཅེས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅོག | གཅོག_ད་ལྟ་བ།_ཐ་དད་པ+གཅོག_ད་ལྟ་བ།_###
གཅོད | གཅོད_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཅོད_ད་ལྟ་བ།_###+གཅོད_ད་ལྟ་བ།_ཐ་དད་པ
གཅོམ | གཅོམ_ད་ལྟ་བ།_ཐ་དད་པ
གཅོར | གཅར_སྐུལ་ཚིག_ཐ་དད་པ+གཅར_སྐུལ་ཚིག_ཐ་མི་དད་པ
གཅོལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཉག | གཉོག_མ་འོངས་པ།_###
གཉགས | གཉོག_འདས་པ།_###
གཉད | གཉོད_མ་འོངས་པ།_ཐ་དད་པ+གཉོད_འདས་པ།_ཐ་དད་པ
གཉིད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉིལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཉེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉོག | གཉོག_ད་ལྟ་བ།_ཐ་དད་པ+གཉོག_ད་ལྟ་བ།_###+གཉོགས_ད་ལྟ་བ།_ཐ་དད་པ+གཉོག_མ་འོངས་པ།_ཐ་དད་པ+གཉོགས_མ་འོངས་པ།_ཐ་དད་པ
གཉོགས | གཉོགས_སྐུལ་ཚིག_ཐ་དད་པ+གཉོག_སྐུལ་ཚིག_ཐ་དད་པ+གཉོག_འདས་པ།_ཐ་དད་པ+གཉོག_སྐུལ་ཚིག_###+གཉོགས_འདས་པ།_ཐ་དད་པ
གཉོད | གཉོད_སྐུལ་ཚིག_ཐ་དད་པ+གཉོད_ད་ལྟ་བ།_ཐ་དད་པ
གཏག | གཏག_མ་འོངས་པ།_###+གཏག_ད་ལྟ་བ།_###+གཏག_ད་ལྟ་བ།_ཐ་དད་པ+གཏག_མ་འོངས་པ།_ཐ་དད་པ
གཏགས | གཏག_འདས་པ།_###+གཏག_འདས་པ།_ཐ་དད་པ
གཏང | གཏོང_མ་འོངས་པ།_ཐ་དད་པ+གཏོང_མ་འོངས་པ།_###
གཏད | གཏོད_ད་ལྟ་བ།_###+གཏོད_འདས་པ།_###+གཏོད_མ་འོངས་པ།_###
གཏན | གཏན_མ་འོངས་པ།_ཐ་དད་པ+གཏན_འདས་པ།_ཐ་དད་པ+གཏན_ད་ལྟ་བ།_ཐ་དད་པ
གཏམས | གཏམས_མ་འོངས་པ།_###+གཏམས_འདས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཏམས_ད་ལྟ་བ།_ཐ་དད་པ+གཏམས_མ་འོངས་པ།_ཐ་དད་པ+གཏམས_འདས་པ།_###+གཏམས_ད་ལྟ་བ།_###
གཏའ | གཏའ_མ་འོངས་པ།_ཐ་དད་པ+གཏས_ད་ལྟ་བ།_ཐ་དད་པ+གཏས_མ་འོངས་པ།_ཐ་དད་པ+གཏའ_ད་ལྟ་བ།_ཐ་དད་པ
གཏར | གཏར_འདས་པ།_ཐ་དད་པ+གཏར_མ་འོངས་པ།_ཐ་དད་པ+གཏར_ད་ལྟ་བ།_ཐ་དད་པ
གཏས | གཏའ_སྐུལ་ཚིག_ཐ་དད་པ+གཏའ_འདས།_ཐ་དད་པ+གཏས_འདས་པ།_ཐ་དད་པ+གཏས_སྐུལ་ཚིག_ཐ་དད་པ
གཏི | བྱ་ཚིག_ཐ་དད་པ
གཏིག | གཏིག_ད་ལྟ་བ།_ཐ་དད་པ
གཏིགས | གཏིག_སྐུལ་ཚིག_ཐ་དད་པ
གཏིབ | གཏིབ_ད་ལྟ་བ།_ཐ་དད་པ+གཏིབས_མ་འོངས་པ།_ཐ་དད་པ+གཏིབ_མ་འོངས་པ།_ཐ་དད་པ+གཏིབས_ད་ལྟ་བ།_ཐ་དད་པ
གཏིབས | གཏིབས_འདས་པ།_ཐ་དད་པ+གཏིབས_སྐུལ་ཚིག_ཐ་དད་པ+གཏིབ_སྐུལ་ཚིག_ཐ་དད་པ+གཏིབ_འདས་པ།_ཐ་དད་པ
གཏིམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཏུག | གཏུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཏུག_ད་ལྟ་བ།_###+གཏུག_མ་འོངས་པ།_ཐ་མི་དད་པ+གཏུག_ད་ལྟ་བ།_ཐ་དད་པ+གཏུག_མ་འོངས་པ།_###+གཏུག_མ་འོངས་པ།_ཐ་དད་པ+གཏུགས_ད་ལྟ་བ།_ཐ་དད་པ+གཏུགས_མ་འོངས་པ།_ཐ་དད་པ
གཏུགས | གཏུག_སྐུལ་ཚིག_ཐ་དད་པ+གཏུག_འདས་པ།_ཐ་དད་པ+གཏུགས_སྐུལ་ཚིག_ཐ་དད་པ+གཏུག_འདས་པ།_###+གཏུག_འདས་པ།_ཐ་མི་དད་པ+གཏུགས_འདས་པ།_ཐ་དད་པ+གཏུག_སྐུལ་ཚིག_ཐ་མི་དད་པ+གཏུག_སྐུལ་ཚིག_###
གཏུབ | གཏུབས_མ་འོངས་པ།_ཐ་དད་པ+གཏུབས_ད་ལྟ་བ།_ཐ་དད་པ+གཏུབ_ད་ལྟ་བ།_ཐ་དད་པ+གཏུབ_མ་འོངས་པ།_ཐ་དད་པ
གཏུབས | གཏུབས_འདས་པ།_ཐ་དད་པ+གཏུབ_འདས་པ།_ཐ་དད་པ+གཏུབས_སྐུལ་ཚིག_ཐ་དད་པ+གཏུབ_སྐུལ་ཚིག_ཐ་དད་པ
གཏུམ | ཐུམ_མ་འོངས་པ།_ཐ་དད་པ+འཐུམ_མ་འོངས་པ།_ཐ་དད་པ
གཏུལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཏོག | གཏོག_ད་ལྟ་བ།_###+གཏོག_མ་འོངས་པ།_###+གཏོག_མ་འོངས་པ།_ཐ་དད་པ+གཏོགས_མ་འོངས་པ།_ཐ་དད་པ+གཏོགས_ད་ལྟ་བ།_ཐ་དད་པ+གཏོག_ད་ལྟ་བ།_ཐ་དད་པ
གཏོགས | གཏོག_སྐུལ་ཚིག_ཐ་དད་པ+གཏག_སྐུལ་ཚིག_ཐ་དད་པ+གཏོག_སྐུལ་ཚིག_###+གཏོག_འདས་པ།_ཐ་དད་པ+གཏག_སྐུལ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཏོགས_སྐུལ་ཚིག_ཐ་དད་པ+གཏོག_འདས་པ།_###+གཏོགས_འདས་པ།_ཐ་དད་པ
གཏོང | གཏོང_ད་ལྟ་བ།_###+གཏོང_ད་ལྟ་བ།_ཐ་དད་པ
གཏོད | གཏོད_ད་ལྟ་བ།_###+གཏོད_སྐུལ་ཚིག_###+གཏོད_མ་འོངས་པ།_###+འདོད_མ་འོངས་པ།_###
གཏོན | གཏན_སྐུལ་ཚིག_ཐ་དད་པ
གཏོམས | གཏམས_སྐུལ་ཚིག_###+གཏམས_སྐུལ་ཚིག_ཐ་དད་པ
གཏོར | གཏར_སྐུལ་ཚིག_ཐ་དད་པ+བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གདག | འདོག_མ་འོངས་པ།_ཐ་དད་པ
གདགས | འདོགས_མ་འོངས་པ།_###+འདོགས_མ་འོངས་པ།_ཐ་དད་པ
གདང | གདང_མ་འོངས་པ།_ཐ་དད་པ+གདང_ད་ལྟ་བ།_ཐ་དད་པ
གདངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གདང_འདས་པ།_ཐ་དད་པ
གདབ | འདེབས_མ་འོངས་པ།_###+འདེབས_མ་འོངས་པ།_ཐ་དད་པ
གདམ | འདེམ_མ་འོངས་པ།_ཐ་དད་པ
གདམས | གདམས_མ་འོངས་པ།_ཐ་དད་པ+གདམས_འདས་པ།_ཐ་དད་པ+འདོམས_མ་འོངས་པ།_ཐ་དད་པ+འདོམས_འདས་པ།_ཐ་དད་པ
གདལ | བདལ_ད་ལྟ་བ།_ཐ་དད་པ+གདལ_ད་ལྟ་བ།_###+གདལ_ད་ལྟ་བ།_ཐ་དད་པ
གདས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གདིང | འདིང_མ་འོངས་པ།_ཐ་དད་པ
གདུ | གདུ_མ་འོངས་པ།_ཐ་དད་པ+གདུས_ད་ལྟ་བ།_ཐ་དད་པ+གདུས_མ་འོངས་པ།_ཐ་དད་པ+གདུ_ད་ལྟ་བ།_ཐ་དད་པ
གདུག | གདུག_ད་ལྟ་བ།_ཐ་དད་པ
གདུང | གདུང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གདུང_མ་འོངས་པ།_ཐ་མི་དད་པ+གདུང_ད་ལྟ་བ།_###+གདུང_མ་འོངས་པ།_###
གདུངས | གདུང_འདས་པ།_ཐ་མི་དད་པ+གདུང_འདས་པ།_###
གདུད | འདུད_མ་འོངས་པ།_ཐ་དད་པ
གདུལ | འདུལ_མ་འོངས་པ།_ཐ་དད་པ+འདུལ_མ་འོངས་པ།_###
གདུས | གདུ_འདས་པ།_ཐ་དད་པ+གདུ_སྐུལ་ཚིག_ཐ་དད་པ+གདུས_སྐུལ་ཚིག_ཐ་དད་པ+གདུས_འདས་པ།_ཐ་དད་པ
གདེག | འདེགས_མ་འོངས་པ།_ཐ་དད་པ
གདེང | གདེང_མ་འོངས་པ།_ཐ་དད་པ+གདེང_ད་ལྟ་བ།_ཐ་དད་པ+གདེངས_མ་འོངས་པ།_ཐ་དད་པ+གདེངས_ད་ལྟ་བ།_ཐ་དད་པ
གདེངས | གདེང_སྐུལ་ཚིག_ཐ་དད་པ+གདེངས_འདས་པ།_ཐ་དད་པ+གདེང_འདས་པ།_ཐ་དད་པ+གདེངས_སྐུལ་ཚིག_ཐ་དད་པ
གདོངས | གདང_སྐུལ་ཚིག_ཐ་དད་པ
གདོད | གཏོད_མའོངསཔ_འབྲི་ཚུལ+ཐོད_མ་འོངས་པ།_ཐ་དད་པ+བྱ་ཚིག_ཐ་དད་པ
གདོན | འདོན_མ་འོངས་པ།_ཐ་དད་པ+འདོན_མ་འོངས་པ།_###
གདོམས | འདེམ_སྐུལཚིག_འབྲི་ཚུལ
གདོལ | གདལ_སྐུལ་ཚིག_ཐ་དད་པ+གདལ_སྐུལ་ཚིག_###
གནག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གནང | གནང_ད་ལྟ་བ།_ཐ་དད་པ+གནང_འདས་པ།_ཐ་དད་པ+གནང_མ་འོངས་པ།_ཐ་དད་པ
གནན | གནོན_མ་འོངས་པ_འབྲི་ཚུལ
གནར | གནར_མ་འོངས་པ།_###+གནར_འདས་པ།_###+གནར_འདས་པ།_ཐ་མི་དད་པ+གནར_ད་ལྟ་བ།_###+གནར_མ་འོངས་པ།_ཐ་མི་དད་པ+གནར_ད་ལྟ་བ།_ཐ་མི་དད་པ
གནས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གནོང | གནོང_ད་ལྟ་བ།_ཐ་དད་པ+གནོང_མ་འོངས་པ།_ཐ་མི་དད་པ+གནོངས_མ་འོངས་པ།_###+གནོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གནོངས_ད་ལྟ་བ།_###+གནོང_མ་འོངས་པ།_ཐ་དད་པ
གནོངས | གནོངས_འདས་པ།_###+གནོང_སྐུལ་ཚིག_ཐ་དད་པ+གནོང_འདས་པ།_ཐ་དད་པ+གནོངས_སྐུལ་ཚིག_###+གནང_སྐུལ་ཚིག_ཐ་དད་པ+གནོང_འདས་པ།_ཐ་མི་དད་པ
གནོད | བྱ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གནོན | གནོན_ད་ལྟ་བ།_ཐ་དད་པ+མནན_ད་ལྟ་བ།_ཐ་དད་པ
གནོར | གནར_སྐུལ་ཚིག_ཐ་མི་དད་པ+གནར_སྐུལ་ཚིག_###
གནོས | ནོད_སྐུལ་ཚིག_ཐ་དད་པ
གབ | གབ_འདས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གབ_མ་འོངས་པ།_ཐ་དད་པ+གབ_ད་ལྟ་བ།_ཐ་དད་པ
གཙག | གཙག_མ་འོངས་པ།_ཐ་དད་པ+གཙག_ད་ལྟ་བ།_###+འཚག_མ་འོངས་པ།_ཐ་དད་པ+གཙག_ད་ལྟ་བ།_ཐ་དད་པ+གཙག_མ་འོངས་པ།_###
གཙགས | གཙག_འདས་པ།_ཐ་དད་པ+གཙག_འདས་པ།_###
གཙབ | གཙབ_མ་འོངས་པ།_ཐ་དད་པ+གཙབ_ད་ལྟ་བ།_ཐ་དད་པ
གཙབས | གཙབ_འདས་པ།_ཐ་དད་པ
གཙི | གཙིས_མ་འོངས་པ།_ཐ་དད་པ+གཙི_ད་ལྟ་བ།_ཐ་དད་པ+བྱ་ཚིག_###+གཙིས_ད་ལྟ་བ།_ཐ་དད་པ+གཙི_མ་འོངས་པ།_ཐ་དད་པ
གཙིག | གཙིག_ད་ལྟ་བ།_ཐ་དད་པ+གཙིགས_མ་འོངས་པ།_ཐ་དད་པ+གཙིགས_ད་ལྟ་བ།_ཐ་དད་པ+གཙིག_མ་འོངས་པ།_ཐ་དད་པ
གཙིགས | གཙིག_འདས་པ།_ཐ་དད་པ+གཙིགས_སྐུལ་ཚིག_ཐ་དད་པ+གཙིག_སྐུལ་ཚིག_ཐ་དད་པ+གཙིགས_འདས་པ།_ཐ་དད་པ
གཙིར | འཚིར_མའོངསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གཙིས | གཙིས_སྐུལ་ཚིག_ཐ་དད་པ+གཙི_འདས་པ།_ཐ་དད་པ+གཙི_སྐུལ་ཚིག_ཐ་དད་པ+གཙིས_འདས་པ།_ཐ་དད་པ
གཙུབ | གཙུབ_ད་ལྟ་བ།_ཐ་དད་པ+གཙུབ_མ་འོངས་པ།_ཐ་དད་པ+གཙུབས_མ་འོངས་པ།_ཐ་དད་པ+གཙུབ_ད་ལྟ་བ།_###+གཙུབ_མ་འོངས་པ།_###+གཙུབས_ད་ལྟ་བ།_ཐ་དད་པ
གཙུབས | གཙུབས_འདས་པ།_ཐ་དད་པ+གཙུབ_འདས་པ།_###+གཙུབ_སྐུལ་ཚིག_###+གཙུབས_སྐུལ་ཚིག_ཐ་དད་པ+གཙུབ_འདས་པ།_ཐ་དད་པ+གཙུབ_སྐུལ་ཚིག_ཐ་དད་པ
གཙེ | གཙེས_ད་ལྟ་བ།_ཐ་དད་པ+གཙེ_ད་ལྟ་བ།_ཐ་དད་པ+གཙེ_མ་འོངས་པ།_ཐ་དད་པ+གཙེས_མ་འོངས་པ།_ཐ་དད་པ
གཙེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཙེས | གཙེས_སྐུལ་ཚིག_ཐ་དད་པ+གཙེ_སྐུལ་ཚིག_ཐ་དད་པ+གཙེ_འདས་པ།_ཐ་དད་པ+གཙེས_འདས་པ།_ཐ་དད་པ
གཙོག | འཚོག_མ་འོངས་པ།_ཐ་དད་པ+བཙོག_འབྲི་ཚུལ
གཙོགས | གཙག_སྐུལ་ཚིག_ཐ་དད་པ+གཙག_སྐུལ་ཚིག_###
གཙོབས | གཙབ_སྐུལ་ཚིག_ཐ་དད་པ
གཞག | འཇོག_མ་འོངས་པ།_ཐ་དད་པ+འཇོག_མ་འོངས་པ།_###
གཞབ | འཇབ_མ་འོངས་པ།_ཐ་དད་པ+གཞབ_མ་འོངས་པ།_###+གཞབ_ད་ལྟ་བ།_###
གཞའ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གཞར | གཞར_ད་ལྟ་བ།_ཐ་དད་པ+གཞར_ད་ལྟ་བ།_###+བཞར_ད་ལྟ་བ།_ཐ་དད་པ
གཞལ | འཇལ_མ་འོངས་པ།_###+འཇལ_མ་འོངས་པ།_ཐ་དད་པ
གཞིག | གཞིགས_མ་འོངས་པ།_ཐ་དད་པ+གཞིགས_ད་ལྟ་བ།_ཐ་དད་པ+གཞིག_མ་འོངས་པ།_ཐ་དད་པ+འཇིག_མ་འོངས་པ།_ཐ་དད་པ+གཞིག_ད་ལྟ་བ།_ཐ་དད་པ
གཞིགས | གཞིག_འདས་པ།_ཐ་དད་པ+གཞིགས_འདས་པ།_ཐ་དད་པ+གཞིགས_སྐུལ་ཚིག_ཐ་དད་པ+གཞིག_སྐུལ་ཚིག_ཐ་དད་པ
གཞིབ | འཇིབ_མ་འོངས་པ།_ཐ་དད་པ
གཞིབས | འཇིབ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
གཞིལ | འཇིལ_མ་འོངས་པ།_ཐ་དད་པ
གཞུ | གཞུ_ད་ལྟ་བ།_ཐ་དད་པ+གཞུ_མ་འོངས་པ།_ཐ་དད་པ+གཞུས_ད་ལྟ་བ།_ཐ་དད་པ+གཞུས_མ་འོངས་པ།_ཐ་དད་པ
གཞུག | འཇུག_མ་འོངས་པ།_ཐ་དད་པ
